0, 42
1, 15
2, 24
3, 48
4, 33
5, 35
6, 25
7, 10
8, 4
9, 15
10, 11
11, 15
12, 20
13, 25
14, 33
15, 44
16, 54
17, 72
18, 105
19, 99
20, 81
21, 92
22, 93
23, 88
24, 99
25, 122
26, 132
27, 133
28, 153
29, 167
30, 206
31, 218
32, 197
33, 265
34, 245
35, 288
36, 310
37, 280
38, 343
39, 389
40, 439
41, 380
42, 447
43, 480
44, 475
45, 517
46, 568
47, 572
48, 641
49, 597
50, 662
51, 668
52, 721
53, 743
54, 767
55, 784
56, 856
57, 848
58, 830
59, 883
60, 960
61, 905
62, 986
63, 899
64, 936
65, 1012
66, 1001
67, 1015
68, 1023
69, 1002
70, 993
71, 1069
72, 1090
73, 1127
74, 1129
75, 1158
76, 1133
77, 1232
78, 1229
79, 1212
80, 1210
81, 1261
82, 1300
83, 1327
84, 1308
85, 1373
86, 1338
87, 1353
88, 1355
89, 1389
90, 1338
91, 1401
92, 1436
93, 1400
94, 1420
95, 1441
96, 1452
97, 1453
98, 1479
99, 1553
100, 1435
101, 1484
102, 1507
103, 1530
104, 1535
105, 1562
106, 1607
107, 1644
108, 1695
109, 1629
110, 1653
111, 1716
112, 1696
113, 1770
114, 1886
115, 1792
116, 1883
117, 1966
118, 2129
119, 2257
120, 2337
121, 2511
122, 2508
123, 2605
124, 2614
125, 2800
126, 2811
127, 2750
128, 2662
129, 2731
130, 2649
131, 2548
132, 2461
133, 2425
134, 2339
135, 2356
136, 2297
137, 2155
138, 2203
139, 2189
140, 2094
141, 2079
142, 2076
143, 2014
144, 2003
145, 2004
146, 2055
147, 2000
148, 1985
149, 1916
150, 1884
151, 1862
152, 1818
153, 1862
154, 1907
155, 1865
156, 1839
157, 1834
158, 1809
159, 1826
160, 1890
161, 1834
162, 1856
163, 1870
164, 1815
165, 1855
166, 1943
167, 1933
168, 2018
169, 2009
170, 2029
171, 2034
172, 2037
173, 2104
174, 2084
175, 2150
176, 2144
177, 2300
178, 2122
179, 2246
180, 2210
181, 2155
182, 2104
183, 2111
184, 2036
185, 1924
186, 1756
187, 1726
188, 1601
189, 1543
190, 1343
191, 1334
192, 1187
193, 1040
194, 1020
195, 922
196, 854
197, 772
198, 714
199, 696
200, 587
201, 512
202, 474
203, 411
204, 363
205, 308
206, 247
207, 187
208, 144
209, 102
210, 65
211, 48
212, 28
213, 27
214, 10
215, 8
216, 12
217, 7
218, 5
219, 8
220, 2
221, 1
222, 0
223, 1
224, 0
225, 0
226, 0
227, 0
228, 1
